epoch,train_loss,val_loss,val_iou,val_f1,val_precision,val_recall,lr
1,0.7412,0.7689,0.1823,0.3081,0.3542,0.2724,0.001000
2,0.5934,0.6102,0.2791,0.4365,0.4812,0.3998,0.001000
3,0.4876,0.5034,0.3512,0.5196,0.5634,0.4831,0.001000
4,0.4201,0.4387,0.3984,0.5698,0.6021,0.5412,0.001000
5,0.3754,0.3921,0.4218,0.5934,0.6289,0.5621,0.001000
6,0.3412,0.3598,0.4467,0.6134,0.6478,0.5832,0.001000
7,0.3198,0.3389,0.4612,0.6278,0.6601,0.5988,0.001000
8,0.3021,0.3201,0.4734,0.6389,0.6712,0.6098,0.001000
9,0.2889,0.3089,0.4812,0.6445,0.6789,0.6147,0.001000
10,0.2798,0.2998,0.4867,0.6489,0.6823,0.6198,0.001000
11,0.2712,0.2934,0.4901,0.6512,0.6845,0.6234,0.001000
12,0.2645,0.2889,0.4921,0.6531,0.6867,0.6256,0.000500
13,0.2498,0.2801,0.4935,0.6545,0.6878,0.6267,0.000500
14,0.2412,0.2789,0.4935,0.6545,0.6881,0.6264,0.000500
15,0.2389,0.2801,0.4928,0.6538,0.6874,0.6259,0.000500
