epoch,train_loss,train_iou,train_f1,val_loss,val_iou,val_f1,lr,time_s
1,1.102608,0.200674,0.296157,1.246233,0.216839,0.320955,1.00e-03,426.1
2,0.970734,0.181826,0.263317,0.919058,0.198676,0.293106,1.00e-03,471.1
3,0.948659,0.209610,0.302912,0.983335,0.347771,0.485883,1.00e-03,319.3
4,0.875342,0.366439,0.503362,0.866058,0.422253,0.569818,1.00e-03,271.8
5,0.832355,0.409794,0.553657,0.811328,0.402020,0.543840,1.00e-03,266.1
6,0.828228,0.401638,0.543399,0.805360,0.427487,0.571334,1.00e-03,250.9
7,0.808060,0.432893,0.578307,0.801488,0.337108,0.463658,1.00e-03,252.2
8,0.788390,0.445743,0.590525,0.741227,0.439796,0.584134,1.00e-03,252.0
9,0.789080,0.439578,0.586816,0.757177,0.434386,0.580504,1.00e-03,253.2
10,0.787538,0.440849,0.587444,0.748882,0.426027,0.570599,1.00e-03,253.6
11,0.779681,0.449827,0.595752,0.771025,0.449074,0.594991,1.00e-03,253.0
12,0.765139,0.451246,0.597140,0.745183,0.458652,0.603929,5.00e-04,253.0
13,0.754794,0.469156,0.614360,0.735463,0.469479,0.615104,5.00e-04,253.0
14,0.765337,0.461129,0.607280,0.728552,0.449493,0.592836,5.00e-04,253.3
15,0.754986,0.465251,0.608988,0.731920,0.474402,0.616623,5.00e-04,250.2
16,0.753392,0.462811,0.607125,0.722387,0.473140,0.618905,5.00e-04,254.8
17,0.760590,0.456651,0.601134,0.718048,0.456537,0.603037,5.00e-04,252.9
18,0.756685,0.461143,0.608118,0.721286,0.467906,0.614092,5.00e-04,252.0
19,0.747335,0.466828,0.611479,0.726089,0.476545,0.622814,5.00e-04,253.5
20,0.734847,0.476882,0.621564,0.707304,0.479059,0.624606,5.00e-04,252.3
